Province,State,Month,Death,Cases,Total
West Virginia,West Virginia,Mar,376,9507,9883
West Virginia,West Virginia,Apr,3,11387,11390
West Virginia,West Virginia,May,113,8046,8159
West Virginia,West Virginia,Jun,99,2655,2754
West Virginia,West Virginia,Jul,55,2920,2975
West Virginia,West Virginia,Aug,138,22536,22674
West Virginia,West Virginia,Sep,586,50183,50769
Wisconsin,Wisconsin,Jan,1192,70510,71702
Wisconsin,Wisconsin,Feb,580,24647,25227
Wisconsin,Wisconsin,Mar,301,18373,18674
Wisconsin,Wisconsin,Apr,235,24174,24409
Wisconsin,Wisconsin,May,306,13664,13970
Wisconsin,Wisconsin,Jun,272,2930,3202
Wisconsin,Wisconsin,Jul,162,9414,9576
Wisconsin,Wisconsin,Aug,172,46570,46742
Wisconsin,Wisconsin,Sep,426,75798,76224
Wyoming,Wyoming,Jan,158,7345,7503
Wyoming,Wyoming,Feb,75,2407,2482
Wyoming,Wyoming,Mar,29,1887,1916
Wyoming,Wyoming,Apr,7,1825,1832
Wyoming,Wyoming,May,12,1990,2002
Wyoming,Wyoming,Jun,28,2118,2146
Wyoming,Wyoming,Jul,29,2808,2837
Wyoming,Wyoming,Aug,82,9927,10009
Wyoming,Wyoming,Sep,138,15328,15466
